855.8102123100045, 0.15, 0.0, S, 5, SYN1137, ???, 0.7853981633974483
863.254056276421, 0.15, 0.0, S, 5, SYN1167, ???, 0.7853981633974483
855.2118569954224, 0.15, 0.0, S, 5, SYN1150, ???, 0.7853981633974483
955.0430525356388, 0.15, 0.0, S, 5, SYN1374, ???, 0.7853981633974483
844.7458757982207, 0.15, 0.0, S, 5, SYN1126, ???, 0.7853981633974483
1022.0613023374316, 0.15, 0.0, S, 5, SYN1535, ???, 0.7853981633974483
1066.0895491915485, 0.15, 0.0, S, 5, SYN1644, ???, 0.7853981633974483
797.2480054526296, 0.15, 0.0, S, 5, SYN1001, ???, 0.7853981633974483
979.106055794128, 0.15, 0.0, S, 5, SYN1423, ???, 0.7853981633974483
795.7140812365899, 0.15, 0.0, S, 5, SYN1017, ???, 0.7853981633974483
1110.3159701279828, 0.15, 0.0, S, 5, SYN1763, ???, 0.7853981633974483
1067.2551299105164, 0.15, 0.0, S, 5, SYN1641, ???, 0.7853981633974483
1034.7834924401045, 0.15, 0.0, S, 5, SYN1569, ???, 0.7853981633974483
1012.9312693739071, 0.15, 0.0, S, 5, SYN1513, ???, 0.7853981633974483
1041.0030529242767, 0.15, 0.0, S, 5, SYN1587, ???, 0.7853981633974483
1056.8009412270414, 0.15, 0.0, S, 5, SYN1626, ???, 0.7853981633974483
911.3623836373592, 0.15, 0.0, S, 5, SYN1276, ???, 0.7853981633974483
872.5216074717887, 0.15, 0.0, S, 5, SYN1155, ???, 0.7853981633974483
942.1724678713297, 0.15, 0.0, S, 5, SYN1339, ???, 0.7853981633974483
876.1036508264656, 0.15, 0.0, S, 5, SYN1183, ???, 0.7853981633974483
1059.8575308347865, 0.15, 0.0, S, 5, SYN1617, ???, 0.7853981633974483
1113.4154889714298, 0.15, 0.0, S, 5, SYN1752, ???, 0.7853981633974483
994.7016590316031, 0.15, 0.0, S, 5, SYN1474, ???, 0.7853981633974483
1085.5319333918997, 0.15, 0.0, S, 5, SYN1698, ???, 0.7853981633974483
1113.09823138338, 0.15, 0.0, S, 5, SYN1767, ???, 0.7853981633974483
939.8584354620152, 0.15, 0.0, S, 5, SYN1344, ???, 0.7853981633974483
965.4632898821347, 0.15, 0.0, S, 5, SYN1375, ???, 0.7853981633974483
1004.0369107959073, 0.15, 0.0, S, 5, SYN1498, ???, 0.7853981633974483
1082.1368100029806, 0.15, 0.0, S, 5, SYN1690, ???, 0.7853981633974483
970.9844490972298, 0.15, 0.0, S, 5, SYN1400, ???, 0.7853981633974483
1048.5086594585805, 0.15, 0.0, S, 5, SYN1599, ???, 0.7853981633974483
917.3797601866678, 0.15, 0.0, S, 5, SYN1286, ???, 0.7853981633974483
944.6619857163286, 0.15, 0.0, S, 5, SYN1351, ???, 0.7853981633974483
884.2617557582948, 0.15, 0.0, S, 5, SYN1215, ???, 0.7853981633974483
959.1014617081023, 0.15, 0.0, S, 5, SYN1389, ???, 0.7853981633974483
824.2988768805485, 0.15, 0.0, S, 5, SYN1071, ???, 0.7853981633974483
1103.0037872596395, 0.15, 0.0, S, 5, SYN1733, ???, 0.7853981633974483
878.1148961568867, 0.15, 0.0, S, 5, SYN1180, ???, 0.7853981633974483
836.6328407255705, 0.15, 0.0, S, 5, SYN1092, ???, 0.7853981633974483
1091.4578043018907, 0.15, 0.0, S, 5, SYN1712, ???, 0.7853981633974483
1043.6555272615183, 0.15, 0.0, S, 5, SYN1591, ???, 0.7853981633974483
934.0035420489468, 0.15, 0.0, S, 5, SYN1316, ???, 0.7853981633974483
1088.8600146044462, 0.15, 0.0, S, 5, SYN1703, ???, 0.7853981633974483
931.0019183134484, 0.15, 0.0, S, 5, SYN1323, ???, 0.7853981633974483
808.0985546189299, 0.15, 0.0, S, 5, SYN1042, ???, 0.7853981633974483
1052.5112080787146, 0.15, 0.0, S, 5, SYN1613, ???, 0.7853981633974483
903.6155294467087, 0.15, 0.0, S, 5, SYN1259, ???, 0.7853981633974483
943.0984098661412, 0.15, 0.0, S, 5, SYN1349, ???, 0.7853981633974483
1014.4747392945851, 0.15, 0.0, S, 5, SYN1522, ???, 0.7853981633974483
912.1602564459536, 0.15, 0.0, S, 5, SYN1279, ???, 0.7853981633974483
1037.1629493361831, 0.15, 0.0, S, 5, SYN1572, ???, 0.7853981633974483
1075.1651115210423, 0.15, 0.0, S, 5, SYN1672, ???, 0.7853981633974483
873.3844506680955, 0.15, 0.0, S, 5, SYN1190, ???, 0.7853981633974483
981.8676194189982, 0.15, 0.0, S, 5, SYN1439, ???, 0.7853981633974483
911.977729548043, 0.15, 0.0, S, 5, SYN1243, ???, 0.7853981633974483
805.9076490032629, 0.15, 0.0, S, 5, SYN1035, ???, 0.7853981633974483
791.1935639365648, 0.15, 0.0, S, 5, SYN1007, ???, 0.7853981633974483
988.5005226772458, 0.15, 0.0, S, 5, SYN1444, ???, 0.7853981633974483
1013.7305014479357, 0.15, 0.0, S, 5, SYN1511, ???, 0.7853981633974483
844.4505148616322, 0.15, 0.0, S, 5, SYN1117, ???, 0.7853981633974483
845.7016627722677, 0.15, 0.0, S, 5, SYN1118, ???, 0.7853981633974483
863.6819221477317, 0.15, 0.0, S, 5, SYN1169, ???, 0.7853981633974483
1003.9321174988806, 0.15, 0.0, S, 5, SYN1491, ???, 0.7853981633974483
902.7400888526018, 0.15, 0.0, S, 5, SYN1257, ???, 0.7853981633974483
883.4077307230449, 0.15, 0.0, S, 5, SYN1208, ???, 0.7853981633974483
1049.1270507849704, 0.15, 0.0, S, 5, SYN1598, ???, 0.7853981633974483
834.7172604110232, 0.15, 0.0, S, 5, SYN1101, ???, 0.7853981633974483
947.0320907190666, 0.15, 0.0, S, 5, SYN1332, ???, 0.7853981633974483
1003.7024318286265, 0.15, 0.0, S, 5, SYN1494, ???, 0.7853981633974483
1016.2803349823051, 0.15, 0.0, S, 5, SYN1524, ???, 0.7853981633974483
827.5196658197136, 0.15, 0.0, S, 5, SYN1085, ???, 0.7853981633974483
1004.6048443476923, 0.15, 0.0, S, 5, SYN1499, ???, 0.7853981633974483
815.2256760310646, 0.15, 0.0, S, 5, SYN1055, ???, 0.7853981633974483
838.1260314937172, 0.15, 0.0, S, 5, SYN1091, ???, 0.7853981633974483
925.5053818352733, 0.15, 0.0, S, 5, SYN1293, ???, 0.7853981633974483
1048.2313963271124, 0.15, 0.0, S, 5, SYN1600, ???, 0.7853981633974483
1105.2113661128917, 0.15, 0.0, S, 5, SYN1727, ???, 0.7853981633974483
1111.9453584045211, 0.15, 0.0, S, 5, SYN1755, ???, 0.7853981633974483
928.0898423116105, 0.15, 0.0, S, 5, SYN1289, ???, 0.7853981633974483
1022.3135619282523, 0.15, 0.0, S, 5, SYN1540, ???, 0.7853981633974483
859.1533920198649, 0.15, 0.0, S, 5, SYN1154, ???, 0.7853981633974483
1067.5880872585387, 0.15, 0.0, S, 5, SYN1652, ???, 0.7853981633974483
866.7817395847608, 0.15, 0.0, S, 5, SYN1174, ???, 0.7853981633974483
854.8561021856799, 0.15, 0.0, S, 5, SYN1149, ???, 0.7853981633974483
794.8043068030801, 0.15, 0.0, S, 5, SYN1013, ???, 0.7853981633974483
892.9584451746349, 0.15, 0.0, S, 5, SYN1230, ???, 0.7853981633974483
1069.250795937321, 0.15, 0.0, S, 5, SYN1656, ???, 0.7853981633974483
1003.32907604702, 0.15, 0.0, S, 5, SYN1495, ???, 0.7853981633974483
791.4157051985675, 0.15, 0.0, S, 5, SYN1008, ???, 0.7853981633974483
1009.3627730861547, 0.15, 0.0, S, 5, SYN1505, ???, 0.7853981633974483
970.2815256045648, 0.15, 0.0, S, 5, SYN1414, ???, 0.7853981633974483
926.191015389594, 0.15, 0.0, S, 5, SYN1292, ???, 0.7853981633974483
804.4342527948143, 0.15, 0.0, S, 5, SYN1033, ???, 0.7853981633974483
1005.7380211836921, 0.15, 0.0, S, 5, SYN1488, ???, 0.7853981633974483
1047.9006999785188, 0.15, 0.0, S, 5, SYN1602, ???, 0.7853981633974483
930.3260678871603, 0.15, 0.0, S, 5, SYN1322, ???, 0.7853981633974483
1015.1531350685331, 0.15, 0.0, S, 5, SYN1509, ???, 0.7853981633974483
864.2809704924439, 0.15, 0.0, S, 5, SYN1170, ???, 0.7853981633974483
892.6297802775331, 0.15, 0.0, S, 5, SYN1231, ???, 0.7853981633974483
1085.3442889915973, 0.15, 0.0, S, 5, SYN1687, ???, 0.7853981633974483
875.0392950190997, 0.15, 0.0, S, 5, SYN1194, ???, 0.7853981633974483
816.1190951191863, 0.15, 0.0, S, 5, SYN1047, ???, 0.7853981633974483
892.6093920665135, 0.15, 0.0, S, 5, SYN1234, ???, 0.7853981633974483
1040.0203078239088, 0.15, 0.0, S, 5, SYN1585, ???, 0.7853981633974483
1075.7153990733354, 0.15, 0.0, S, 5, SYN1665, ???, 0.7853981633974483
1039.9011275771882, 0.15, 0.0, S, 5, SYN1577, ???, 0.7853981633974483
977.0717291838178, 0.15, 0.0, S, 5, SYN1430, ???, 0.7853981633974483
886.9731323887677, 0.15, 0.0, S, 5, SYN1204, ???, 0.7853981633974483
943.5294397457524, 0.15, 0.0, S, 5, SYN1336, ???, 0.7853981633974483
1059.0790005799752, 0.15, 0.0, S, 5, SYN1618, ???, 0.7853981633974483
1095.0842579922796, 0.15, 0.0, S, 5, SYN1722, ???, 0.7853981633974483
930.2967168345772, 0.15, 0.0, S, 5, SYN1287, ???, 0.7853981633974483
1048.6308151557967, 0.15, 0.0, S, 5, SYN1604, ???, 0.7853981633974483
1007.1445785585665, 0.15, 0.0, S, 5, SYN1502, ???, 0.7853981633974483
1032.3189648615614, 0.15, 0.0, S, 5, SYN1565, ???, 0.7853981633974483
1074.151732363626, 0.15, 0.0, S, 5, SYN1671, ???, 0.7853981633974483
1056.4663068105417, 0.15, 0.0, S, 5, SYN1624, ???, 0.7853981633974483
1093.0032891954834, 0.15, 0.0, S, 5, SYN1716, ???, 0.7853981633974483
844.1399907313556, 0.15, 0.0, S, 5, SYN1124, ???, 0.7853981633974483
1077.335689664517, 0.15, 0.0, S, 5, SYN1677, ???, 0.7853981633974483
1103.3638572739824, 0.15, 0.0, S, 5, SYN1732, ???, 0.7853981633974483
814.7785987632, 0.15, 0.0, S, 5, SYN1048, ???, 0.7853981633974483
994.7982658361408, 0.15, 0.0, S, 5, SYN1475, ???, 0.7853981633974483
1065.6132076349295, 0.15, 0.0, S, 5, SYN1645, ???, 0.7853981633974483
796.2923327156911, 0.15, 0.0, S, 5, SYN1018, ???, 0.7853981633974483
914.2333698546247, 0.15, 0.0, S, 5, SYN1273, ???, 0.7853981633974483
818.1955106403179, 0.15, 0.0, S, 5, SYN1064, ???, 0.7853981633974483
1115.621798719398, 0.15, 0.0, S, 5, SYN1770, ???, 0.7853981633974483
929.0902748879363, 0.15, 0.0, S, 5, SYN1288, ???, 0.7853981633974483
