483.711009163003, 0.15, 0.0, P, 5, SYN1194, ???
451.11312260033344, 0.15, 0.0, P, 5, SYN1047, ???
494.02555499057655, 0.15, 0.0, P, 5, SYN1234, ???
574.2526449069313, 0.15, 0.0, P, 5, SYN1585, ???
594.3278510549534, 0.15, 0.0, P, 5, SYN1665, ???
575.3263983407327, 0.15, 0.0, P, 5, SYN1577, ???
540.1634603264293, 0.15, 0.0, P, 5, SYN1430, ???
489.11120266040905, 0.15, 0.0, P, 5, SYN1204, ???
520.828268601858, 0.15, 0.0, P, 5, SYN1336, ???
585.819517621856, 0.15, 0.0, P, 5, SYN1618, ???
603.2158366889701, 0.15, 0.0, P, 5, SYN1722, ???
513.2747837725066, 0.15, 0.0, P, 5, SYN1287, ???
579.6235113513512, 0.15, 0.0, P, 5, SYN1604, ???
555.6876694481845, 0.15, 0.0, P, 5, SYN1502, ???
569.3651681314527, 0.15, 0.0, P, 5, SYN1565, ???
593.2233309815592, 0.15, 0.0, P, 5, SYN1671, ???
584.4064926105591, 0.15, 0.0, P, 5, SYN1624, ???
601.0660739238492, 0.15, 0.0, P, 5, SYN1716, ???
466.66663830479274, 0.15, 0.0, P, 5, SYN1124, ???
593.7024606650011, 0.15, 0.0, P, 5, SYN1677, ???
607.7030665558209, 0.15, 0.0, P, 5, SYN1732, ???
450.6361080701119, 0.15, 0.0, P, 5, SYN1048, ???
550.2934994263044, 0.15, 0.0, P, 5, SYN1475, ???
589.109700745439, 0.15, 0.0, P, 5, SYN1645, ???
439.9876741814647, 0.15, 0.0, P, 5, SYN1018, ???
504.7632424125929, 0.15, 0.0, P, 5, SYN1273, ???
452.4095843817755, 0.15, 0.0, P, 5, SYN1064, ???
614.0812295635901, 0.15, 0.0, P, 5, SYN1770, ???
512.6704078024571, 0.15, 0.0, P, 5, SYN1288, ???
463.64696224364025, 0.15, 0.0, P, 5, SYN1090, ???
585.4548114326631, 0.15, 0.0, P, 5, SYN1619, ???
472.37722205835274, 0.15, 0.0, P, 5, SYN1143, ???
540.4922969725872, 0.15, 0.0, P, 5, SYN1425, ???
546.8394396504813, 0.15, 0.0, P, 5, SYN1461, ???
589.6235893927626, 0.15, 0.0, P, 5, SYN1657, ???
540.302691604822, 0.15, 0.0, P, 5, SYN1428, ???
445.2152288092516, 0.15, 0.0, P, 5, SYN1025, ???
479.71527538746733, 0.15, 0.0, P, 5, SYN1157, ???
470.1138673031736, 0.15, 0.0, P, 5, SYN1111, ???
517.2387264656392, 0.15, 0.0, P, 5, SYN1311, ???
535.8725721953695, 0.15, 0.0, P, 5, SYN1402, ???
569.3336841912228, 0.15, 0.0, P, 5, SYN1564, ???
540.8723773759631, 0.15, 0.0, P, 5, SYN1436, ???
519.7093746940868, 0.15, 0.0, P, 5, SYN1342, ???
565.0225444719089, 0.15, 0.0, P, 5, SYN1545, ???
501.6733164420255, 0.15, 0.0, P, 5, SYN1245, ???
517.741963495974, 0.15, 0.0, P, 5, SYN1310, ???
499.38937734049654, 0.15, 0.0, P, 5, SYN1254, ???
569.6558762387386, 0.15, 0.0, P, 5, SYN1566, ???
515.846869786962, 0.15, 0.0, P, 5, SYN1314, ???
600.0343136787784, 0.15, 0.0, P, 5, SYN1683, ???
607.4966359185456, 0.15, 0.0, P, 5, SYN1736, ???
550.0871867912994, 0.15, 0.0, P, 5, SYN1472, ???
474.30815320555706, 0.15, 0.0, P, 5, SYN1153, ???
525.6601980694436, 0.15, 0.0, P, 5, SYN1370, ???
450.7193901052979, 0.15, 0.0, P, 5, SYN1058, ???
456.0262391205482, 0.15, 0.0, P, 5, SYN1079, ???
488.3669850507189, 0.15, 0.0, P, 5, SYN1207, ???
520.4401417837521, 0.15, 0.0, P, 5, SYN1345, ???
613.3262132188471, 0.15, 0.0, P, 5, SYN1768, ???
491.90261433545953, 0.15, 0.0, P, 5, SYN1199, ???
537.2976274721103, 0.15, 0.0, P, 5, SYN1418, ???
598.6341267056156, 0.15, 0.0, P, 5, SYN1700, ???
607.4696833645137, 0.15, 0.0, P, 5, SYN1743, ???
542.8907858386267, 0.15, 0.0, P, 5, SYN1420, ???
451.9558061307679, 0.15, 0.0, P, 5, SYN1063, ???
574.3942998828678, 0.15, 0.0, P, 5, SYN1588, ???
510.02829771822434, 0.15, 0.0, P, 5, SYN1302, ???
438.90095806076744, 0.15, 0.0, P, 5, SYN1014, ???
514.5233510037779, 0.15, 0.0, P, 5, SYN1319, ???
504.9784824559864, 0.15, 0.0, P, 5, SYN1282, ???
516.7234700501704, 0.15, 0.0, P, 5, SYN1312, ???
535.3243725940406, 0.15, 0.0, P, 5, SYN1406, ???
440.94917355210987, 0.15, 0.0, P, 5, SYN1020, ???
531.2072916952308, 0.15, 0.0, P, 5, SYN1379, ???
598.4757070944978, 0.15, 0.0, P, 5, SYN1689, ???
493.89621460767717, 0.15, 0.0, P, 5, SYN1229, ???
467.9091379269897, 0.15, 0.0, P, 5, SYN1114, ???
541.3914250967804, 0.15, 0.0, P, 5, SYN1438, ???
604.636687240763, 0.15, 0.0, P, 5, SYN1705, ???
499.74272781136864, 0.15, 0.0, P, 5, SYN1260, ???
514.6396292305607, 0.15, 0.0, P, 5, SYN1320, ???
578.7323066045268, 0.15, 0.0, P, 5, SYN1609, ???
549.9655825498703, 0.15, 0.0, P, 5, SYN1470, ???
499.0661529214462, 0.15, 0.0, P, 5, SYN1252, ???
607.2389542425406, 0.15, 0.0, P, 5, SYN1742, ???
461.6079849738437, 0.15, 0.0, P, 5, SYN1104, ???
550.386760085956, 0.15, 0.0, P, 5, SYN1476, ???
461.36852255240615, 0.15, 0.0, P, 5, SYN1096, ???
477.8412544868006, 0.15, 0.0, P, 5, SYN1166, ???
505.9856318490097, 0.15, 0.0, P, 5, SYN1269, ???
541.1731355742536, 0.15, 0.0, P, 5, SYN1437, ???
504.87687876302573, 0.15, 0.0, P, 5, SYN1272, ???
451.016508911177, 0.15, 0.0, P, 5, SYN1060, ???
473.5052110908866, 0.15, 0.0, P, 5, SYN1136, ???
500.0153719323901, 0.15, 0.0, P, 5, SYN1261, ???
545.3667557771699, 0.15, 0.0, P, 5, SYN1447, ???
530.6788587891348, 0.15, 0.0, P, 5, SYN1391, ???
499.5361450787446, 0.15, 0.0, P, 5, SYN1250, ???
557.1903163852106, 0.15, 0.0, P, 5, SYN1506, ???
608.3335776183305, 0.15, 0.0, P, 5, SYN1730, ???
612.2926486255334, 0.15, 0.0, P, 5, SYN1754, ???
477.821477317937, 0.15, 0.0, P, 5, SYN1161, ???
496.0593961736094, 0.15, 0.0, P, 5, SYN1223, ???
511.6383562448748, 0.15, 0.0, P, 5, SYN1290, ???
466.7743714528253, 0.15, 0.0, P, 5, SYN1122, ???
515.7448747531051, 0.15, 0.0, P, 5, SYN1327, ???
606.3573864431226, 0.15, 0.0, P, 5, SYN1739, ???
524.9231807689586, 0.15, 0.0, P, 5, SYN1364, ???
549.9803717228422, 0.15, 0.0, P, 5, SYN1471, ???
597.8446421498834, 0.15, 0.0, P, 5, SYN1691, ???
531.7092740583831, 0.15, 0.0, P, 5, SYN1378, ???
555.0306283638538, 0.15, 0.0, P, 5, SYN1496, ???
550.4291097035486, 0.15, 0.0, P, 5, SYN1478, ???
611.9014565769614, 0.15, 0.0, P, 5, SYN1758, ???
455.56782712348837, 0.15, 0.0, P, 5, SYN1073, ???
606.9962657964803, 0.15, 0.0, P, 5, SYN1735, ???
463.5935169230512, 0.15, 0.0, P, 5, SYN1109, ???
565.0516844092623, 0.15, 0.0, P, 5, SYN1541, ???
579.1173551437121, 0.15, 0.0, P, 5, SYN1610, ???
602.9253049336155, 0.15, 0.0, P, 5, SYN1721, ???
562.4628825836354, 0.15, 0.0, P, 5, SYN1507, ???
505.6266171355539, 0.15, 0.0, P, 5, SYN1284, ???
589.0701786920689, 0.15, 0.0, P, 5, SYN1655, ???
530.4491867467985, 0.15, 0.0, P, 5, SYN1383, ???
607.8214423012776, 0.15, 0.0, P, 5, SYN1744, ???
526.8572958061353, 0.15, 0.0, P, 5, SYN1356, ???
537.3335348720346, 0.15, 0.0, P, 5, SYN1399, ???
514.6659535222307, 0.15, 0.0, P, 5, SYN1317, ???
456.99969022383164, 0.15, 0.0, P, 5, SYN1084, ???
564.9831504433769, 0.15, 0.0, P, 5, SYN1539, ???
530.2705809918197, 0.15, 0.0, P, 5, SYN1386, ???
488.5889052250135, 0.15, 0.0, P, 5, SYN1210, ???
483.2488597633165, 0.15, 0.0, P, 5, SYN1188, ???
555.8743362894177, 0.15, 0.0, P, 5, SYN1489, ???
530.6054791446107, 0.15, 0.0, P, 5, SYN1382, ???
477.83493569383404, 0.15, 0.0, P, 5, SYN1165, ???
540.9103073622603, 0.15, 0.0, P, 5, SYN1424, ???
612.0777206400127, 0.15, 0.0, P, 5, SYN1761, ???
555.4521669512154, 0.15, 0.0, P, 5, SYN1501, ???
510.11548720318336, 0.15, 0.0, P, 5, SYN1303, ???
516.019496252718, 0.15, 0.0, P, 5, SYN1328, ???
530.457252879681, 0.15, 0.0, P, 5, SYN1385, ???
604.7163756899458, 0.15, 0.0, P, 5, SYN1726, ???
500.8851342329457, 0.15, 0.0, P, 5, SYN1263, ???
480.2693091040713, 0.15, 0.0, P, 5, SYN1176, ???
509.8351746054609, 0.15, 0.0, P, 5, SYN1299, ???
565.5086014821934, 0.15, 0.0, P, 5, SYN1533, ???
479.6596155126256, 0.15, 0.0, P, 5, SYN1175, ???
499.3917735978193, 0.15, 0.0, P, 5, SYN1255, ???
585.182407043423, 0.15, 0.0, P, 5, SYN1620, ???
570.9361545358888, 0.15, 0.0, P, 5, SYN1570, ???
588.7965694479167, 0.15, 0.0, P, 5, SYN1654, ???
552.005909952676, 0.15, 0.0, P, 5, SYN1465, ???
545.5290181158823, 0.15, 0.0, P, 5, SYN1456, ???
612.4618303353564, 0.15, 0.0, P, 5, SYN1757, ???
527.2775251898101, 0.15, 0.0, P, 5, SYN1355, ???
496.6456922668443, 0.15, 0.0, P, 5, SYN1222, ???
555.256796579465, 0.15, 0.0, P, 5, SYN1500, ???
